nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,KnowForTitleNames
nm0000001,Fred Astaire,1899,1987,"Actor,  Miscellaneous,  Producer","tt0072308,tt0050419,tt0053137,tt0027125","The Towering Inferno, Funny Face, On the Beach, Top Hat"
nm0000007,Humphrey Bogart,1899,1957,"Actor,  Producer,  Miscellaneous","tt0034583,tt0037382,tt0042593,tt0043265","Casablanca, To Have and Have Not, In a Lonely Place, The African Queen"
nm0000008,Marlon Brando,1924,2004,"Actor,  Director,  Writer","tt0078788,tt0068646,tt0047296,tt0070849","Apocalypse Now, The Godfather, On the Waterfront, Last Tango in Paris"
nm0000012,Bette Davis,1908,1989,"Actress,  Make Up Department,  Producer","tt0042192,tt0056687,tt0031210,tt0035140","All About Eve, What Ever Happened to Baby Jane?, Dark Victory, Now, Voyager"
nm0000013,Doris Day,1922,2019,"Actress,  Producer,  Miscellaneous","tt0048317,tt0045591,tt0053172,tt0049470","Love Me or Leave Me, Calamity Jane, Pillow Talk, The Man Who Knew Too Much"
nm0000022,Clark Gable,1901,1960,"Actor,  Producer,  Soundtrack","tt0025316,tt0031381,tt0026752,tt0055184","It Happened One Night, Gone with the Wind, Mutiny on the Bounty, The Misfits"
nm0000028,Rita Hayworth,1918,1987,"Actress,  Producer,  Soundtrack","tt0038559,tt0040525,tt0035103,tt0036723","Gilda, The Lady from Shanghai, My Gal Sal, Cover Girl"
nm0000031,Katharine Hepburn,1907,2003,"Actress,  Writer,  Soundtrack","tt0063227,tt0032904,tt0082846,tt0043265","The Lion in Winter, The Philadelphia Story, On Golden Pond, The African Queen"
nm0000032,Charlton Heston,1923,2008,"Actor,  Director,  Writer","tt0052618,tt0049833,tt0070723,tt0067525","Ben-Hur, The Ten Commandments, Soylent Green, The Omega Man"
nm0000034,William Holden,1918,1981,"Actor,  Miscellaneous,  Soundtrack","tt0046359,tt0047437,tt0043014,tt0074958","Stalag 17, Sabrina, Sunset Boulevard, Network"
nm0000044,Burt Lancaster,1913,1994,"Actor,  Producer,  Miscellaneous","tt0045793,tt0085859,tt0051036,tt0057091","From Here to Eternity, Local Hero, Sweet Smell of Success, The Leopard"
nm0000056,Paul Newman,1925,2008,"Actor,  Producer,  Director","tt0054997,tt0257044,tt0084855,tt0110684","The Hustler, Road to Perdition, The Verdict, Nobody's Fool"
nm0000061,Tyrone Power,1914,1958,"Actor,  Producer,  Soundtrack","tt0051201,tt0034405,tt0042256,tt0043959","Witness for the Prosecution, A Yank in the RAF, The Black Rose, Rawhide"
nm0000069,Frank Sinatra,1915,1998,"Music Artist,  Actor,  Producer","tt0045793,tt0056218,tt0049314,tt0052218","From Here to Eternity, The Manchurian Candidate, High Society, Some Came Running"
nm0000071,James Stewart,1908,1997,"Actor,  Director,  Producer","tt0052561,tt0052357,tt0038650,tt0032904","Anatomy of a Murder, Vertigo, It's a Wonderful Life, The Philadelphia Story"
nm0000075,Spencer Tracy,1900,1967,"Actor,  Soundtrack,  Archive Footage","tt0055031,tt0061735,tt0053946,tt0047849","Judgment at Nuremberg, Guess Who's Coming to Dinner, Inherit the Wind, Bad Day at Black Rock"
nm0000080,Orson Welles,1915,1985,"Actor,  Writer,  Director","tt0033467,tt0052311,tt0040525,tt0057427","Citizen Kane, Touch of Evil, The Lady from Shanghai, The Trial"
nm0000093,Brad Pitt,1963,\N,"Producer,  Actor,  Executive","tt0137523,tt0356910,tt0114746,tt1210166","Fight Club, Mr. & Mrs. Smith, 12 Monkeys, Moneyball"
nm0000095,Woody Allen,1935,\N,"Writer,  Director,  Actor","tt0079522,tt0075686,tt0118954,tt0091167","Manhattan, Annie Hall, Deconstructing Harry, Hannah and Her Sisters"
nm0000098,Jennifer Aniston,1969,\N,"Actress,  Producer,  Director","tt0108778,tt3442006,tt1723121,tt0279113","Friends, Cake, We're the Millers, The Good Girl"
nm0000099,Patricia Arquette,1968,\N,"Actress,  Producer,  Director","tt0108399,tt1065073,tt0412175,tt0145531","True Romance, Boyhood, Medium, Stigmata"
nm0000102,Kevin Bacon,1958,\N,"Actor,  Producer,  Director","tt0087277,tt0361127,tt0164052,tt0327056","Footloose, The Woodsman, Hollow Man, Mystic River"
nm0000106,Drew Barrymore,1975,\N,"Producer,  Actress,  Director","tt0160127,tt0151738,tt0343660,tt0120631","Charlie's Angels, Never Been Kissed, 50 First Dates, Ever After: A Cinderella Story"
nm0000107,Kim Basinger,1953,\N,"Actress,  Producer,  Soundtrack","tt0119488,tt0096895,tt0337921,tt0108525","L.A. Confidential, Batman, Cellular, Wayne's World 2"
nm0000112,Pierce Brosnan,1953,\N,"Actor,  Producer,  Executive","tt0143145,tt0795421,tt0120347,tt0155267","The World Is Not Enough, Mamma Mia!, Tomorrow Never Dies, The Thomas Crown Affair"
nm0000113,Sandra Bullock,1964,\N,"Producer,  Actress,  Music Department","tt1041829,tt0212346,tt0111257,tt1454468","The Proposal, Miss Congeniality, Speed, Gravity"
nm0000115,Nicolas Cage,1964,\N,"Actor,  Producer,  Director","tt0119094,tt0113627,tt0117500,tt0435705","Face/Off, Leaving Las Vegas, The Rock, Next"
nm0000119,Tia Carrere,\N,\N,"Actress,  Soundtrack,  Producer","tt0105793,tt0275847,tt0207919,tt0111503","Wayne's World, Lilo & Stitch, Relic Hunter, True Lies"
nm0000120,Jim Carrey,1962,\N,"Actor,  Writer,  Producer","tt0109040,tt0338013,tt0110475,tt0315327","Ace Ventura: Pet Detective, Eternal Sunshine of the Spotless Mind, The Mask, Bruce Almighty"
nm0000122,Charles Chaplin,1889,1977,"Writer,  Actor,  Director","tt0032553,tt0027977,tt0044837,tt0021749","The Great Dictator, Modern Times, Limelight, City Lights"
nm0000124,Jennifer Connelly,1970,\N,"Actress,  Producer,  Soundtrack","tt0268978,tt0315983,tt0286716,tt0180093","A Beautiful Mind, House of Sand and Fog, Hulk, Requiem for a Dream"
nm0000125,Sean Connery,1930,2020,"Actor,  Producer,  Director","tt0117500,tt0055928,tt0094226,tt0091605","The Rock, Dr. No, The Untouchables, The Name of the Rose"
nm0000129,Tom Cruise,1962,\N,"Actor,  Producer,  Director","tt0092099,tt0325710,tt0116695,tt0117060","Top Gun, The Last Samurai, Jerry Maguire, Mission: Impossible"
nm0000131,John Cusack,1966,\N,"Actor,  Producer,  Writer","tt0119229,tt0146882,tt0098258,tt0450385","Grosse Pointe Blank, High Fidelity, Say Anything, 1408"
nm0000134,Robert De Niro,1943,\N,"Actor,  Producer,  Director","tt0101540,tt0081398,tt0075314,tt0077416","Cape Fear, Raging Bull, Taxi Driver, The Deer Hunter"
nm0000139,Cameron Diaz,1972,\N,"Actress,  Producer,  Soundtrack","tt0259711,tt0129387,tt0160127,tt0119738","Vanilla Sky, There's Something About Mary, Charlie's Angels, My Best Friend's Wedding"
nm0000140,Michael Douglas,1944,\N,"Actor,  Producer,  Director","tt1291580,tt0094291,tt0088011,tt0093010","Behind the Candelabra, Wall Street, Romancing the Stone, Fatal Attraction"
nm0000142,Clint Eastwood,1930,\N,"Actor,  Producer,  Director","tt0405159,tt1205489,tt0186566,tt0105695","Million Dollar Baby, Gran Torino, Space Cowboys, Unforgiven"
nm0000148,Harrison Ford,1942,\N,"Actor,  Writer,  Producer","tt0082971,tt0076759,tt0106977,tt0090329","Raiders of the Lost Ark, Star Wars: Episode IV - A New Hope, The Fugitive, Witness"
nm0000150,Michael J. Fox,1961,\N,"Actor,  Producer,  Miscellaneous","tt0088763,tt0096874,tt0115369,tt0116365","Back to the Future, Back to the Future Part II, Spin City, The Frighteners"
nm0000151,Morgan Freeman,1937,\N,"Actor,  Producer,  Director","tt0097239,tt0114369,tt0405159,tt0468569","Driving Miss Daisy, Se7en, Million Dollar Baby, The Dark Knight"
nm0000152,Richard Gere,1949,\N,"Actor,  Producer,  Music Department","tt0299658,tt0100405,tt0084434,tt0119395","Chicago, Pretty Woman, An Officer and a Gentleman, The Jackal"
nm0000155,Whoopi Goldberg,1955,\N,"Actress,  Producer,  Writer","tt0099653,tt0105417,tt0088939,tt0108147","Ghost, Sister Act, The Color Purple, Sister Act 2: Back in the Habit"
nm0000156,Jeff Goldblum,1952,\N,"Actor,  Producer,  Writer","tt0107290,tt0091064,tt2278388,tt0116629","Jurassic Park, The Fly, The Grand Budapest Hotel, Independence Day"
nm0000158,Tom Hanks,1956,\N,"Producer,  Actor,  Writer","tt0162222,tt0094737,tt0109830,tt0107818","Cast Away, Big, Forrest Gump, Philadelphia"
nm0000163,Dustin Hoffman,1937,\N,"Actor,  Producer,  Director","tt0084805,tt0095953,tt0064665,tt0079417","Tootsie, Rain Man, Midnight Cowboy, Kramer vs. Kramer"
nm0000165,Ron Howard,1954,\N,"Producer,  Actor,  Writer","tt0367279,tt0075213,tt0268978,tt0112384","Arrested Development, The Shootist, A Beautiful Mind, Apollo 13"
nm0000167,Elizabeth Hurley,1965,\N,"Actress,  Producer,  Archive Footage","tt0118655,tt0230030,tt0145660,tt0105104","Austin Powers: International Man of Mystery, Bedazzled, Austin Powers: The Spy Who Shagged Me, Passenger 57"
nm0000168,Samuel L. Jackson,1948,\N,"Actor,  Producer,  Miscellaneous","tt0110912,tt3460252,tt4154664,tt2802144","Pulp Fiction, The Hateful Eight, Captain Marvel, Kingsman: The Secret Service"
