primaryName,birthYear,deathYear,primaryProfession,knownForTitle
Fred Astaire,1899,1987.0,"actor,miscellaneous,producer",The Towering Inferno
Humphrey Bogart,1899,1957.0,"actor,producer,miscellaneous",Casablanca
Marlon Brando,1924,2004.0,"actor,director,writer",Apocalypse Now
Bette Davis,1908,1989.0,"actress,make_up_department,producer",All About Eve
Doris Day,1922,2019.0,"actress,producer,miscellaneous",Love Me or Leave Me
Clark Gable,1901,1960.0,"actor,producer,soundtrack",It Happened One Night
Rita Hayworth,1918,1987.0,"actress,producer,soundtrack",Gilda
Katharine Hepburn,1907,2003.0,"actress,writer,soundtrack",The Lion in Winter
Charlton Heston,1923,2008.0,"actor,director,writer",Ben-Hur
William Holden,1918,1981.0,"actor,miscellaneous,soundtrack",Stalag 17
Burt Lancaster,1913,1994.0,"actor,producer,miscellaneous",From Here to Eternity
Paul Newman,1925,2008.0,"actor,producer,director",The Hustler
Tyrone Power,1914,1958.0,"actor,producer,soundtrack",Witness for the Prosecution
Frank Sinatra,1915,1998.0,"music_artist,actor,producer",From Here to Eternity
James Stewart,1908,1997.0,"actor,director,producer",Vertigo
Spencer Tracy,1900,1967.0,"actor,soundtrack,archive_footage",Guess Who's Coming to Dinner
Orson Welles,1915,1985.0,"actor,writer,director",Citizen Kane
Brad Pitt,1963,,"producer,actor,executive",Fight Club
Woody Allen,1935,,"writer,director,actor",Annie Hall
Jennifer Aniston,1969,,"actress,producer,director",Friends
Patricia Arquette,1968,,"actress,producer,director",True Romance
Kevin Bacon,1958,,"actor,producer,director",Footloose
Drew Barrymore,1975,,"producer,actress,director",Charlie's Angels
Kim Basinger,1953,,"actress,producer,soundtrack",L.A. Confidential
Pierce Brosnan,1953,,"actor,producer,executive",Mamma Mia!
Sandra Bullock,1964,,"producer,actress,music_department",The Proposal
Nicolas Cage,1964,,"actor,producer,director",Face/Off
Tia Carrere,1967,,"actress,soundtrack,producer",Wayne's World
Jim Carrey,1962,,"actor,writer,producer",Ace Ventura: Pet Detective
Charles Chaplin,1889,1977.0,"writer,actor,director",The Great Dictator
Jennifer Connelly,1970,,"actress,producer,archive_footage",A Beautiful Mind
Sean Connery,1930,2020.0,"actor,producer,director",The Rock
Tom Cruise,1962,,"actor,producer,director",Top Gun
John Cusack,1966,,"actor,producer,writer",Grosse Pointe Blank
Robert De Niro,1943,,"actor,producer,director",Cape Fear
Cameron Diaz,1972,,"actress,producer,soundtrack",Vanilla Sky
Michael Douglas,1944,,"actor,producer,director",Wall Street
Clint Eastwood,1930,,"actor,producer,director",Million Dollar Baby
Harrison Ford,1942,,"actor,writer,producer",Raiders of the Lost Ark
Michael J. Fox,1961,,"actor,producer,miscellaneous",Back to the Future
Morgan Freeman,1937,,"actor,producer,director",Se7en
Richard Gere,1949,,"actor,producer,music_department",Chicago
Whoopi Goldberg,1955,,"actress,producer,writer",Ghost
Jeff Goldblum,1952,,"actor,producer,writer",Jurassic Park
Tom Hanks,1956,,"producer,actor,writer",Cast Away
Dustin Hoffman,1937,,"actor,producer,director",Tootsie
Ron Howard,1954,,"producer,actor,writer",Arrested Development
Elizabeth Hurley,1965,,"actress,producer,archive_footage",Austin Powers: International Man of Mystery
Samuel L. Jackson,1948,,"actor,producer,miscellaneous",Pulp Fiction
Ashley Judd,1968,,"actress,producer,director",Double Jeopardy
Nicole Kidman,1967,,"actress,producer,music_department",Moulin Rouge!
Diane Lane,1965,,"actress,soundtrack,archive_footage",Unfaithful
Jennifer Lopez,1969,,"music_artist,producer,actress",Hustlers
Matthew McConaughey,1969,,"actor,producer,director",Interstellar
Julianne Moore,1960,,"actress,producer,soundtrack",Far from Heaven
Mike Myers,1963,,"actor,writer,producer",Austin Powers in Goldmember
