unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,lat1,lon1,address1,lat2,lon2,address2,query_location,city,state
5,The Californians,2005,,,Parker Film Company,Fabrication Films,Jonathan Parker,Jonathan Parker & Catherine DiNapoli,Noah Wyle,,,21.0,36.0,10.0,,,,,,,,San Francisco,California
6,Babies,2010,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,,21.0,36.0,10.0,,,,,,,,San Francisco,California
24,Down Periscope,1996,,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,David S. Ward,Hugh Wilson,Kelsey Grammar,Lauren Holly,,21.0,36.0,10.0,,,,,,,,San Francisco,California
41,Shattered,1991,,,Capella International,Metro-Goldwyn-Mayer,Wolfgang Petersen,Wolfgang Petersen,Tom Berenger,Bob Hoskins,,21.0,36.0,10.0,,,,,,,,San Francisco,California
61,True Believer,1989,,,Columbia Pictures Corporation,Columbia Pictures,Joseph Ruben,Wesley Strick,James Woods,"Robert Downey, Jr.",,21.0,36.0,10.0,,,,,,,,San Francisco,California
78,The Doctor,1991,,,Silver Screen Partners IV,Buena Vista Pictures,Randa Haines,Robert Caswell,William Hurt,Christine Lahti,,21.0,36.0,10.0,,,,,,,,San Francisco,California
131,Fathers' Day,1997,,,Northern Lights Entertainment,Columbia Broadcasting System,Ivan Reitman,Lowell Ganz,Robin Williams,Billy Crystal,,21.0,36.0,10.0,,,,,,,,San Francisco,California
274,The Organization,1971,,,The Mirisch Corporation,United Artists,Don Medford,James R. Webb,Sidney Poitier,Barbara McNair,,21.0,36.0,10.0,,,,,,,,San Francisco,California
281,Raising Cain,1992,,,Pacific Western,Universal Pictures,Brian DePalma,Brian DePalma,John Lithgow,,,21.0,36.0,10.0,,,,,,,,San Francisco,California
291,Just Like Heaven,2005,,,DreamWorks SKG,DreamWorks Distribution,Mark Waters,Peter Tolan,Reese Witherspoon,Mark Ruffalo,,21.0,36.0,10.0,,,,,,,,San Francisco,California
296,Confessions of a Burning Man,2003,,,Hotbed Media,Windline Films,Paul Barnett,,Kevin Epps,Anna Getty,,21.0,36.0,10.0,,,,,,,,San Francisco,California
352,Beaches,1988,,,Silver Screen Partners IV,Columbia Broadcasting System,Garry Marshall,Mary Agnes Donoghue,Bette Midler,Barbara Hershey,John Heard,21.0,36.0,10.0,,,,,,,,San Francisco,California
380,The Laughing Policeman,1973,,,Twentieth Century Fox Film Corporation,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman,Walter Matthau,Bruce Dern,Louis Gossett Jr.,21.0,36.0,10.0,,,,,,,,San Francisco,California
387,Psych-Out,1968,,,Dick Clark Productions,American International Pictures (AIP),Richard Rush,Betty Tusher,Jack Nicholson,Susan Strasberg,Dean Stockwell,21.0,36.0,10.0,,,,,,,,San Francisco,California
460,Jack,1996,,,American Zoetrope,Buena Vista Pictures,Francis Ford Coppola,James DeMonaco,Robin Williams,Diane Lane,,21.0,36.0,10.0,,,,,,,,San Francisco,California
532,Faces of Death,1978,,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr,,,21.0,36.0,10.0,,,,,,,,San Francisco,California
558,On the Beach,1959,,,Stanley Kramer Productions,United Artists,Stanley Kramer,John Paxton,Gregory Peck,Ava Gardner,Fred Astaire,21.0,36.0,10.0,,,,,,,,San Francisco,California
609,Fandom,2004,,,The Digital Golem,Cinequest Distribution,Nicholas Tucker,Nicholas Tucker & Mark Hefti,Mark Hefti,Peter Quintana,,21.0,36.0,10.0,,,,,,,,San Francisco,California
625,Barbary Coast,1935,,,The Samuel Goldwyn Company,United Artists,Howard Hawks,Ben Hecht,Mariam Hopkins,Edward G. Robinson,Joel McCrea,21.0,36.0,10.0,,,,,,,,San Francisco,California
633,"Hello Frisco, Hello",1943,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Bruce Humberstone,Robert Ellis,Alice Faye,John Payne,Jack Oakie,21.0,36.0,10.0,,,,,,,,San Francisco,California
701,The Zodiac,2005,,,Blackwater Films,THINKFilm,Alexander Bulkley,Alexander Bulkley & Kelley Bulkeley,Justin Chambers,Robin Tunney,,21.0,36.0,10.0,,,,,,,,San Francisco,California
836,Desperate Measures,1998,,,Mandalay Entertainment,TriStar Pictures,Barbet Schroeder,David Klass,Michael Keaton,Andy Garcia,Raven-Symone,21.0,36.0,10.0,,,,,,,,San Francisco,California
847,Bee Season,2005,,,Bee Season Productions,Fox Searchlight Pictures,Scott McGehee,David Siegel,Richard Gere,Juliette Binoche,,21.0,36.0,10.0,,,,,,,,San Francisco,California
937,House of Sand and Fog,2003,,,DreamWorks SKG,DreamWorks Distribution,Vadim Perelman,Vadim Perelman,Jennifer Connelly,Ben Kingsley,,21.0,36.0,10.0,,,,,,,,San Francisco,California
958,The Nightmare Before Christmas,1993,,,Touchstone Pictures,Buena Vista Pictures,Henry Selick,Tim Burton,Danny Elfman,Catherine O'Hara,,21.0,36.0,10.0,,,,,,,,San Francisco,California
973,Nina Takes a Lover,1994,,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs,Laura San Giacomo,Paul Rhys,,21.0,36.0,10.0,,,,,,,,San Francisco,California
