unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,lat1,lon1,address1,lat2,lon2,address2,query_location,city,state,geocode_relevance1,geocode_relevance2,verified,address_final,Coords,coordinates_final,lat_final,lon_final,verified2,coordinates_final2
5,The Californians,2005,,,Parker Film Company,Fabrication Films,Jonathan Parker,Jonathan Parker & Catherine DiNapoli,Noah Wyle,,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
6,Babies,2010,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
24,Down Periscope,1996,,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,David S. Ward,Hugh Wilson,Kelsey Grammar,Lauren Holly,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
41,Shattered,1991,,,Capella International,Metro-Goldwyn-Mayer,Wolfgang Petersen,Wolfgang Petersen,Tom Berenger,Bob Hoskins,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
61,True Believer,1989,,,Columbia Pictures Corporation,Columbia Pictures,Joseph Ruben,Wesley Strick,James Woods,"Robert Downey, Jr.",,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
78,The Doctor,1991,,,Silver Screen Partners IV,Buena Vista Pictures,Randa Haines,Robert Caswell,William Hurt,Christine Lahti,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
131,Fathers' Day,1997,,,Northern Lights Entertainment,Columbia Broadcasting System,Ivan Reitman,Lowell Ganz,Robin Williams,Billy Crystal,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
274,The Organization,1971,,,The Mirisch Corporation,United Artists,Don Medford,James R. Webb,Sidney Poitier,Barbara McNair,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
281,Raising Cain,1992,,,Pacific Western,Universal Pictures,Brian DePalma,Brian DePalma,John Lithgow,,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
291,Just Like Heaven,2005,,,DreamWorks SKG,DreamWorks Distribution,Mark Waters,Peter Tolan,Reese Witherspoon,Mark Ruffalo,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
296,Confessions of a Burning Man,2003,,,Hotbed Media,Windline Films,Paul Barnett,,Kevin Epps,Anna Getty,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
352,Beaches,1988,,,Silver Screen Partners IV,Columbia Broadcasting System,Garry Marshall,Mary Agnes Donoghue,Bette Midler,Barbara Hershey,John Heard,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
380,The Laughing Policeman,1973,,,Twentieth Century Fox Film Corporation,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman,Walter Matthau,Bruce Dern,Louis Gossett Jr.,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
387,Psych-Out,1968,,,Dick Clark Productions,American International Pictures (AIP),Richard Rush,Betty Tusher,Jack Nicholson,Susan Strasberg,Dean Stockwell,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
460,Jack,1996,,,American Zoetrope,Buena Vista Pictures,Francis Ford Coppola,James DeMonaco,Robin Williams,Diane Lane,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
532,Faces of Death,1978,,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr,,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
558,On the Beach,1959,,,Stanley Kramer Productions,United Artists,Stanley Kramer,John Paxton,Gregory Peck,Ava Gardner,Fred Astaire,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
609,Fandom,2004,,,The Digital Golem,Cinequest Distribution,Nicholas Tucker,Nicholas Tucker & Mark Hefti,Mark Hefti,Peter Quintana,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
625,Barbary Coast,1935,,,The Samuel Goldwyn Company,United Artists,Howard Hawks,Ben Hecht,Mariam Hopkins,Edward G. Robinson,Joel McCrea,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
633,"Hello Frisco, Hello",1943,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Bruce Humberstone,Robert Ellis,Alice Faye,John Payne,Jack Oakie,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
701,The Zodiac,2005,,,Blackwater Films,THINKFilm,Alexander Bulkley,Alexander Bulkley & Kelley Bulkeley,Justin Chambers,Robin Tunney,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
836,Desperate Measures,1998,,,Mandalay Entertainment,TriStar Pictures,Barbet Schroeder,David Klass,Michael Keaton,Andy Garcia,Raven-Symone,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
847,Bee Season,2005,,,Bee Season Productions,Fox Searchlight Pictures,Scott McGehee,David Siegel,Richard Gere,Juliette Binoche,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
937,House of Sand and Fog,2003,,,DreamWorks SKG,DreamWorks Distribution,Vadim Perelman,Vadim Perelman,Jennifer Connelly,Ben Kingsley,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
958,The Nightmare Before Christmas,1993,,,Touchstone Pictures,Buena Vista Pictures,Henry Selick,Tim Burton,Danny Elfman,Catherine O'Hara,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
973,Nina Takes a Lover,1994,,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs,Laura San Giacomo,Paul Rhys,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1019,To the Ends of the Earth,1948,,,Kennedy-Buckman Pictures,Columbia Pictures,Robert Stevenson,Jay Richard Kennedy,Dick Powell,Signe Hasso,Maylia,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1038,Tweek City,2005,,,Tweek City LLC,Maverick Entertainment Group,Eric G. Johnson,Eric G. Johnson,Giuseppe Andrews,,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1043,American Yearbook,2004,,,All Planet Studios,,Brian Ging,Brian Ging,Nick Tagas,Jon Carlo Alvarez,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1164,Twisted,2004,,,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1230,Julie and Jack,2003,,,Moviehead Pictures,Echelon Entertainment,James Nguyen,James Nguyen & Joe Bright,Jenn Gotzon,Tippi Hedren,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1240,Street Music,1981,,,Pacificon Films,Specialty Films,Jenny Bowen,Jenny Bowen,Elizabeth Daily,Larry Breeding,Ned Glass,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
1246,The Fog of War,2003,,,Sony Pictures Classics,Sony Pictures Classics,Errol Morris,,Robert McNamara,,,21,36,10,,,,,,,,San Francisco,California,,,Y,,,,,,Y,
