tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0005571,short,A Jitney Elopement,A Jitney Elopement,0,1915,\N,26,"Comedy,Short"
tt0015881,movie,Greed,Greed,0,1924,\N,140,"Drama,Thriller,Western"
tt0018037,movie,The Jazz Singer,The Jazz Singer,0,1927,\N,88,"Drama,Music,Musical"
tt0026097,movie,Barbary Coast,Barbary Coast,0,1935,\N,91,"Adventure,Drama,Romance"
tt0027260,movie,After the Thin Man,After the Thin Man,0,1936,\N,112,"Comedy,Crime,Mystery"
tt0028216,movie,San Francisco,San Francisco,0,1936,\N,115,"Drama,Music,Romance"
tt0029852,movie,Alexander's Ragtime Band,Alexander's Ragtime Band,0,1938,\N,106,"Drama,Music,Musical"
tt0033870,movie,The Maltese Falcon,The Maltese Falcon,0,1941,\N,100,"Crime,Film-Noir,Mystery"
tt0034172,movie,Shadow of the Thin Man,Shadow of the Thin Man,0,1941,\N,97,"Drama,Mystery"
tt0034778,movie,Gentleman Jim,Gentleman Jim,0,1942,\N,104,"Biography,Drama,Romance"
tt0035982,movie,"Hello Frisco, Hello","Hello Frisco, Hello",0,1943,\N,99,Musical
tt0039302,movie,Dark Passage,Dark Passage,0,1947,\N,106,"Film-Noir,Thriller"
tt0039666,movie,Nora Prentiss,Nora Prentiss,0,1947,\N,111,"Drama,Film-Noir"
tt0040458,movie,I Remember Mama,I Remember Mama,0,1948,\N,134,"Drama,Family"
tt0040525,movie,The Lady from Shanghai,The Lady from Shanghai,0,1947,\N,87,"Crime,Drama,Film-Noir"
tt0040887,movie,To the Ends of the Earth,To the Ends of the Earth,0,1948,\N,109,"Crime,Film-Noir,Thriller"
tt0042192,movie,All About Eve,All About Eve,0,1950,\N,138,Drama
tt0043142,movie,Woman on the Run,Woman on the Run,0,1950,\N,77,"Crime,Drama,Film-Noir"
tt0043660,movie,The House on Telegraph Hill,The House on Telegraph Hill,0,1951,\N,93,"Crime,Drama,Film-Noir"
tt0045205,movie,Sudden Fear,Sudden Fear,0,1952,\N,110,"Film-Noir,Thriller"
tt0046816,movie,The Caine Mutiny,The Caine Mutiny,0,1954,\N,124,"Drama,War"
tt0048215,movie,It Came from Beneath the Sea,It Came from Beneath the Sea,0,1955,\N,79,"Horror,Sci-Fi"
tt0049833,movie,The Ten Commandments,The Ten Commandments,0,1956,\N,220,"Adventure,Drama,Family"
tt0050815,movie,Pal Joey,Pal Joey,0,1957,\N,111,"Drama,Musical,Romance"
tt0051866,movie,The Lineup,The Lineup,0,1958,\N,86,"Crime,Drama,Film-Noir"
tt0052357,movie,Vertigo,Vertigo,0,1958,\N,128,"Mystery,Romance,Thriller"
tt0053137,movie,On the Beach,On the Beach,0,1959,\N,134,"Drama,Romance,Sci-Fi"
tt0054084,movie,Midnight Lace,Midnight Lace,0,1960,\N,103,"Crime,Mystery,Thriller"
tt0054885,movie,Flower Drum Song,Flower Drum Song,0,1961,\N,133,"Comedy,Musical,Romance"
tt0055307,movie,The Pleasure of His Company,The Pleasure of His Company,0,1961,\N,115,Comedy
tt0055490,movie,Susan Slade,Susan Slade,0,1961,\N,116,Drama
tt0055798,movie,Birdman of Alcatraz,Birdman of Alcatraz,0,1962,\N,147,"Biography,Crime,Drama"
tt0055895,movie,Days of Wine and Roses,Days of Wine and Roses,0,1962,\N,117,Drama
tt0055972,movie,Experiment in Terror,Experiment in Terror,0,1962,\N,123,"Crime,Mystery,Thriller"
tt0056543,movie,Swingin' Along,Swingin' Along,0,1961,\N,74,Comedy
tt0056869,movie,The Birds,The Birds,0,1963,\N,119,"Drama,Horror,Mystery"
tt0058153,movie,Good Neighbor Sam,Good Neighbor Sam,0,1964,\N,130,Comedy
tt0058329,movie,Marnie,Marnie,0,1964,\N,130,"Crime,Drama,Mystery"
tt0061722,movie,The Graduate,The Graduate,0,1967,\N,106,"Comedy,Drama,Romance"
tt0061735,movie,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,0,1967,\N,108,"Comedy,Drama"
tt0062138,movie,Point Blank,Point Blank,0,1967,\N,92,"Crime,Drama,Thriller"
tt0062765,movie,Bullitt,Bullitt,0,1968,\N,114,"Action,Crime,Thriller"
